,id,xcenter,ycenter,aperture_sum,aperture_sum_err,total_bkg,total_bkg_err,corrected_sum,corrected_sum_err,magnitudes,magnitudes_err,star_id
0,1,3571.0,268.0,384000.9690542625,619.678117834874,384174.039852781,1755.589764790806,-173.0707985184854,1861.7455228794317,,0.09587588054145886,0
1,2,210.0,338.0,381448.56717902765,617.6152261683349,381540.9918640617,1819.8303280923035,-92.42468503402779,1921.7780804867934,,0.23651875807598177,1
2,3,3458.0,392.0,383930.47733970394,619.6212364403062,383936.1537521501,1715.7233645680112,-5.676412446133327,1824.1812246518684,,56.61355869750221,2
3,4,4038.0,467.0,383987.60035291675,619.6673302802909,383933.87584392115,1688.7210761388974,53.724508995597716,1798.823635938893,20.88658442327117,0.6274840798310427,3
4,5,3372.0,656.0,383724.24974812346,619.454799914311,383752.3775360156,1605.15831239917,-28.127787892124616,1720.5398737027372,,2.175896007720158,4
5,6,3150.0,669.0,383798.4194553498,619.5146642045479,384183.82824268774,2297.3108257159497,-385.4087873379467,2379.377113682523,,0.07473680637208283,5
6,7,3748.0,699.0,383786.36060640623,619.5049321118048,383656.6380250908,1669.3493036121456,129.7225813154364,1780.5935691171098,19.929476605860664,0.12855004083951455,6
7,8,613.0,820.0,381677.1350038608,617.8002380032578,381583.31665678363,1562.3067238079216,93.81834707717644,1680.0236407063812,20.281296118021366,0.20435439845811013,7
8,9,1937.0,1086.0,383279.2217908996,619.0954858078492,383454.1249201861,1779.3559487751957,-174.9031292865402,1883.9816381773294,,0.09550825520562246,8
9,10,1292.0,1102.0,382279.02442581585,618.2871705537035,382154.40036151814,1652.9873072836967,124.62406429770635,1764.8359876521984,19.973010784450143,0.1350600764479367,9
10,11,534.0,1150.0,381182.1698324586,617.3995219297734,381314.360461848,1762.3592234667883,-132.19062938936986,1867.375752819334,,0.12941738367563527,10
11,12,2853.0,1156.0,383588.4249756578,619.3451570675801,383481.74560519244,1717.4985635201642,106.67937046533916,1825.7573056890374,20.14181445042267,0.1762565714571721,11
12,13,3612.0,1234.0,383605.3192805082,619.3587961963179,383649.6457417271,1714.0362241857383,-44.32646121887956,1822.50528016976,,0.9304295641837469,12
13,14,2640.0,1467.0,383666.84231491445,619.4084616772816,383708.09785621485,1567.7370834227845,-41.25554130040109,1685.6649741678787,,0.9930777034825895,13
14,15,4016.0,1535.0,383709.50016732933,619.4428957587622,383817.89135299745,1579.0663005263893,-108.39118566812249,1696.219290824184,,0.1617817635835042,14
15,16,733.0,1585.0,381483.54884406296,617.6435439868164,381347.4117679018,1517.2107145107116,136.13707616116153,1638.1122976324605,19.877074513473257,0.11463572535179364,15
16,17,1821.0,1591.0,382118.6333833301,618.1574509629831,382103.94988650264,1544.9402684360289,14.683496827434283,1664.018950377742,22.29494182653612,7.718247596495143,16
17,18,1385.0,1692.0,382277.42346799606,618.2858757629631,382286.4029345215,1600.7729685834443,-8.979466525430325,1716.0278322671304,,21.282655273655635,17
18,19,2293.0,1803.0,383051.7584012494,618.9117542221974,383078.37096376065,1639.9583618705367,-26.61256251123268,1752.8591467038907,,2.4760673698405395,18
19,20,2030.0,1879.0,382056.0065947668,618.1067919254924,382102.87074564316,1669.0291295834209,-46.86415087635396,1779.807360818135,,0.8136664856868445,19
20,21,1109.0,1975.0,381494.06501115725,617.6520589482587,381476.7012301976,1694.9881045703062,17.36378095962573,1804.0173892060636,22.11290481418279,5.983901575323371,20
21,22,1236.0,1991.0,381867.62972152553,617.9543910812899,381646.87435576465,1660.1705183216552,220.75536576088052,1771.4496265378366,19.35223738960925,0.0815495787059525,21
22,23,986.0,1993.0,381453.5355322183,617.6192481139099,381345.15808362776,1659.1049107272224,108.37744859053055,1770.3340476983365,20.124668254141838,0.16746998975660668,22
23,24,3622.0,2165.0,383555.3820938672,619.3184818062173,383635.5475036109,1642.9686930187881,-80.16540974366944,1755.8193267379827,,0.28280004735960235,23
24,25,3534.0,2262.0,383416.02998219465,619.2059681260827,383275.33780187875,1582.416897036228,140.69218031590572,1699.2525612717857,19.841340660908937,0.11268747099077735,24
25,26,1777.0,2369.0,381745.0305453979,617.8551874528127,381698.4420449128,1550.252503590407,46.58850048511522,1668.8402732288896,21.041318730084626,0.7723354401534988,25
26,27,2038.0,2401.0,381666.44053756853,617.7915838038688,381743.42589745676,1574.8191898422585,-76.98535988823278,1691.6624727510864,,0.29461578856129067,26
27,28,1448.0,2450.0,381706.1344876229,617.8237069543403,381631.0164718743,1543.4525043473238,75.11801574856509,1662.5136889814858,20.522655292185092,0.3035388880858674,27
28,29,1713.0,2549.0,381340.88812122494,617.5280462469325,381418.6134320846,1592.2973710858514,-77.72531085967785,1707.8500536840074,,0.2919724639621042,28
29,30,2230.0,2587.0,381837.620168064,617.9301094743926,381789.7034247357,1612.5417886879568,47.916743328329176,1726.8840842569573,21.01079732718821,0.7556568695443415,29
30,31,419.0,2619.0,380248.2466877189,616.6427226464585,380325.20634411165,1744.9888378988658,-76.959656392748,1850.7388502391339,,0.3208913454510463,30
31,32,1557.0,2816.0,381170.16106554813,617.3897959445303,381269.6066698602,1730.86315399184,-99.445604312059,1837.6771800245572,,0.1996470895420842,31
32,33,2809.0,2854.0,382401.9432388138,618.3865647776954,382315.7839356061,1676.7343753947669,86.15930320770713,1787.1318107873403,20.373760115722078,0.25156670683076854,32
33,34,3517.0,3150.0,382689.60061243514,618.6191072980889,382768.7836030166,1609.9151258024397,-79.18299058143748,1724.6786112785678,,0.28459252539712626,33
34,35,1424.0,3390.0,380789.7462973884,617.0816364947792,380949.85191708105,1645.126735361208,-160.1056196926511,1757.051997380641,,0.10013652473342859,34
35,36,3871.0,3605.0,383533.5171303005,619.300829281664,383512.5306008803,1790.0567629605466,20.98652942024637,1894.158581473512,21.907163999685956,4.3012792871531,35
36,37,3844.0,3618.0,383575.79906121147,619.3349663831709,383537.41536046483,1793.3364301447903,38.38370074663544,1897.2694464069418,21.2516484490604,1.2898285988669298,36
37,38,3331.0,3734.0,383159.2259965341,618.998567006917,383149.53999022726,1613.130853230507,9.68600630684523,1727.8166498794947,22.746653692124884,18.41668972968948,37
38,39,3160.0,3785.0,383030.06380689406,618.8942263689264,383053.2630050965,1638.1902760907353,-23.199198202462867,1751.1988590993974,,3.2546087500575647,38
39,40,655.0,3887.0,365386.66786926624,604.4722222180169,365401.6212379453,1573.278106295292,-14.953368679038249,1685.4051937683378,,7.537834758029188,39
40,41,938.0,983.0,381622.42560183426,617.7559591996246,381824.4172312178,1652.2656540776577,-201.99162938352674,1763.9739841537682,,0.0848420819149097,40
41,42,2713.0,3313.0,382150.58708163456,618.1832961297075,382344.85190467356,1777.9866988067424,-194.2648230390041,1882.3887188217761,,0.08841352702678552,41
42,43,2941.0,1379.0,383651.87739662046,619.39638198769,383577.9429947575,1627.0589396712348,73.93440186296357,1740.9688886317076,20.539899151514177,0.32675044399959224,42
43,44,1532.0,2943.0,381173.75742361404,617.3927111565188,381122.07068890263,1619.3232385208314,51.686734711402096,1733.0266906781299,20.92856781921703,0.6527992142925344,43
44,45,2958.0,2339.0,383092.3713194716,618.9445629607254,382932.2873002388,1608.069751074202,160.08401923283236,1723.0730385965912,19.701145611842087,0.09924616706990913,44
45,46,3053.0,2042.0,383839.0648347539,619.5474682562581,383953.9483517844,1667.2211435194754,-114.88351703045191,1778.613338199488,,0.15326344610360748,45
46,47,1766.0,2194.0,381596.04878637823,617.7346107587441,381577.06966627314,1533.9640011115682,18.979120105097536,1653.675181538221,22.016325375501577,4.591482752822966,46
47,48,1908.0,2234.0,381573.82294354425,617.7166201689582,381573.8737050504,1554.0378557232796,-0.050761506136041135,1672.306036541748,,649003.08090713,47
48,49,2322.0,66.0,386770.4532706634,621.9087168668477,384412.0646941743,1617.2985900746546,2358.3885764891165,1732.75075575584,16.780477154461472,0.07300066474627223,48
49,50,747.0,162.0,593741.2130346042,770.5460478987501,382355.6004259928,1607.8183658519295,211385.6126086114,1782.924874890457,11.899326998618529,0.07300000000001101,49
50,51,3677.0,235.0,446533.0542710619,668.23128797026,383903.4580485176,1809.3061452806337,62629.59622254432,1928.7617223422542,13.220066531398977,0.0730000000016562,50
51,52,1836.0,351.0,383547.8314040372,619.3123852764398,382978.6459708765,1771.6703095035073,569.1854331606883,1876.7960773970747,18.323881118599843,0.073229500728977,51
52,53,2807.0,578.0,384035.4260966993,619.70591907131,383681.5765552519,1626.8877994842312,353.8495414474164,1740.9191073231004,18.839968968004637,0.074312331436262,52
53,54,2914.0,600.0,387699.2852774728,622.6550276662335,383948.3021974987,1669.4273739791022,3750.983079974132,1781.7651473942346,16.276652798033847,0.0730001098417179,53
54,55,2623.0,919.0,386963.23600727925,622.0636908501041,383372.0953463033,1606.7192962951124,3591.1406609759433,1722.9364853531645,16.323934520131644,0.07300012225190955,54
55,56,2316.0,958.0,385487.45979212143,620.876364728941,382990.9008483296,1638.3323591737947,2496.558943791839,1752.0332129828466,16.718661000328844,0.07300054120637932,55
56,57,4000.0,1046.0,434566.5099373715,659.2165881033027,384038.97572062165,1675.4765439003636,50527.53421674983,1800.4966423714502,13.453195298745289,0.07300000000340669,56
57,58,82.0,1082.0,381231.57474460383,617.4395318273181,381060.07952717674,2028.2539215616498,171.49521742708748,2120.1522458996546,19.626385527955854,0.10259474074006598,57
58,59,2419.0,1314.0,383575.8097345712,619.3349743179041,383203.18517116865,1621.3679117119802,372.6245634025545,1735.62948682679,18.78383686039134,0.07406249328548584,58
59,60,2031.0,1409.0,1070693.4259990589,1034.7431715599607,383298.65468359995,1638.159909475451,687394.7713154589,1937.5916288275464,10.619,0.07300000000000022,59
60,61,1259.0,1556.0,2648864.243672086,1627.5331792247175,384160.4485961277,1840.049068007043,2264703.795075958,2456.5514084079136,9.324487041205224,0.0730000000000001,60
