#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-06-06T13:54:43 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-06T13:54:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-order=I&-out.src=J/A+A/618/A93/members&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/618/A93/members&-out=RA_ICRS&-out=DE_ICRS&-out=Source&-out=GLON&-out=GLAT&-out=plx&-out=pmRA&-out=pmDE&-out=o_Gmag&-out=Gmag&-out=BP-RP&-out=PMemb&-out=Cluster&Cluster=NGC_2632&-out=SimbadName&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36180093
#Name: J/A+A/618/A93
#Title: Gaia DR2 open clusters in the Milky Way (Cantat-Gaudin+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/a+a/618/a93	    IVOID of underlying data collection
#INFO	creator=Cantat-Gaudin T.	    First author or institution
#INFO	cites=bibcode:2018A&A...618A..93C	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/618/A93	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36180093	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-09-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_618_A93_members:
#Name: J/A+A/618/A93/members
#Title: Membership probabilities of all individual stars
#Column	RA_ICRS	(F15.11)	[] Gaia DR2 right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Gaia DR2 declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Source	(I19)	Gaia DR2 source_id (source_id)	[ucd=meta.id;meta.main]
#Column	GLON	(F14.10)	[] Gaia DR2 Galactic longitude (l)	[ucd=pos.galactic.lon]
#Column	GLAT	(F14.10)	Gaia DR2 Galactic latitude (b)	[ucd=pos.galactic.lat]
#Column	plx	(F10.4)	Gaia DR2 parallax (parallax)	[ucd=pos.parallax.trig]
#Column	pmRA	(F9.3)	Gaia DR2 proper motion along RA (pmra)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	Gaia DR2 proper motion along DE (pmdec)	[ucd=pos.pm;pos.eq.dec]
#Column	o_Gmag	(I3)	Gaia DR2 number of G observations (phot_g_n_obs)	[ucd=meta.number]
#Column	Gmag	(F9.6)	Gaia DR2 mean G magnitude (phot_g_mean_mag)	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F9.6)	? Gaia DR2 BP minus RP colour null if missing in DR2 (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	PMemb	(F4.1)	Membership probability (proba)	[ucd=stat.fit.goodness]
#Column	Cluster	(a17)	Corresponding cluster (cluster)	[ucd=meta.id.parent]
#Column	SimbadName	(A28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F15.11)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F15.11)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
RA_ICRS	DE_ICRS	Source	GLON	GLAT	plx	pmRA	pmDE	o_Gmag	Gmag	BP-RP	PMemb	Cluster	SimbadName	_RA.icrs	_DE.icrs
deg	deg	 	deg	deg	mas	mas/yr	mas/yr	 	mag	mag	 	 	 	deg	deg
---------------	---------------	-------------------	--------------	--------------	----------	---------	---------	---	---------	---------	----	-----------------	----------------------------	---------------	---------------
130.28844967979	+17.57132332981	 658602070559194496	208.3082433192	 31.9042618709	    5.1902	  -37.674	  -12.198	355	17.998228	 3.033121	 0.8	NGC_2632         	                            	130.28861982604	+17.57137584890
130.27385917461	+17.54104007245	 658600455651464704	208.3354264753	 31.8802219554	    5.0742	  -37.534	  -11.204	350	15.805969	 2.528612	 0.6	NGC_2632         	                            	130.27402866023	+17.54108831182
130.35880803061	+17.80347466009	 658615440793299712	208.0823111714	 32.0514312505	    5.5255	  -37.241	  -11.772	379	16.564083	 2.784516	 1.0	NGC_2632         	Gaia DR2  658615440793299712	130.35897643877	+17.80352534502
130.57294256495	+17.98745732057	 658641996575437440	207.9671420661	 32.3080863894	    5.4343	  -36.458	  -11.586	399	16.675661	 2.799210	 1.0	NGC_2632         	Gaia DR2  658641996575437440	130.57310760333	+17.98750720467
130.96559423303	+17.65554345030	 658570974996041344	208.4943443576	 32.5358042588	    5.5616	  -36.095	  -11.465	390	16.927830	 2.746878	 0.7	NGC_2632         	                            	130.96575732417	+17.65559281343
130.94716498833	+18.04997813564	 658645574283870720	208.0504725760	 32.6625021881	    5.6034	  -37.162	  -11.629	461	17.306372	 3.087177	 0.8	NGC_2632         	                            	130.94733327331	+18.05002820487
130.41020914491	+17.63997442869	 658607950370340608	208.2829811365	 32.0373888351	    5.3421	  -36.170	  -11.401	415	14.526263	 1.954389	 1.0	NGC_2632         	Gaia DR2  658607950370340608	130.41037256080	+17.64002351626
130.92930809743	+17.90827549755	 658630249840567680	208.2000634878	 32.5954458383	    5.4013	  -33.892	  -10.947	396	14.437420	 1.978498	 0.5	NGC_2632         	                            	130.92946145135	+17.90832263041
131.04968310132	+17.90213538700	 658628905514597376	208.2561211336	 32.6999939548	    5.2503	  -35.879	  -11.440	421	 9.814334	 0.627420	 1.0	NGC_2632         	Gaia DR2  658628905514597376	131.04984544037	+17.90218464249
129.75752546611	+17.85573169139	 659284390540626816	207.7797896668	 31.5373655362	    5.5605	  -36.897	  -12.005	247	15.080690	 2.213951	 1.0	NGC_2632         	Gaia DR2  659284390540626816	129.75769236762	+17.85578337951
129.30751563824	+17.51348567905	 659248858275152128	207.9686468221	 31.0130574668	    5.2897	  -35.439	  -11.726	275	13.266846	 1.461727	 1.0	NGC_2632         	Gaia DR2  659248858275152128	129.30767563954	+17.51353616593
129.63679627236	+17.39387458424	 659254394489166848	208.2337943120	 31.2609949108	    5.5370	  -36.228	  -11.508	211	17.949108	 2.913151	 1.0	NGC_2632         	Gaia DR2  659254394489166848	129.63695972855	+17.39392413251
129.81918476797	+17.46287538718	 659253638574908672	208.2337408718	 31.4481912517	    5.3965	  -36.073	  -11.838	266	11.503157	 0.927423	 1.0	NGC_2632         	Gaia DR2  659253638574908672	129.81934758636	+17.46292635628
129.30828753121	+17.51356495314	 659248862571213184	207.9688770636	 31.0137710548	    5.2704	  -34.386	  -11.545	276	14.345362	 1.860087	 1.0	NGC_2632         	Gaia DR2  659248862571213184	129.30844277846	+17.51361466072
130.23029939723	+18.58300954662	 659477217391773696	207.1716383897	 32.2184717764	    5.3132	  -34.765	  -12.036	270	13.927447	 1.714271	 1.0	NGC_2632         	Gaia DR2  659477217391773696	130.23045731319	+18.58306136822
129.70704322600	+18.26581165648	 659452272221698432	207.3106967126	 31.6412950525	    5.3294	  -35.437	  -11.427	233	12.319331	 1.136819	 1.0	NGC_2632         	Gaia DR2  659452272221698432	129.70720389784	+18.26586085600
130.14218772637	+18.35912589292	 659464122035016320	207.3832034551	 32.0603082667	    5.4329	  -36.820	  -11.496	265	17.535246	 2.942940	 0.9	NGC_2632         	                            	130.14235475876	+18.35917538951
